node_id, twitternum, twitterhandle, trumporhillary, lastlocation, pagerank, numtweets
274, 45061641, chantaldesigner, 7, None, 7.21208910211e-06, 4.0
275, 183346738, nic_fisher, 7, None, 1.82196611809e-05, 2.0
276, 32683581, billradman, 7, None, 3.37819701565e-06, 2.0
277, 61013605, a2doghome, 0, Nevada, 2.12800323908e-05, 1.0
278, 405210386, bobbylee742, 5, Texas, 3.37819701565e-06, 1.0
279, 469765745, office_chick, 7, Pennsylvania, 9.56364130327e-06, 1.0
280, 478907326, dizzymedia, 7, None, 1.16084932063e-05, 22.0
281, 114802298, 62miles, 7, California, 7.19063352198e-06, 1.0
282, 22296190, tomhope1, 0, Florida, 3.37819701565e-06, 8.0
283, 107411114, libertyb4all, 7, None, 1.76628656877e-05, 32.0
284, 19816130, padistedor, 0, Florida, 4.66637014276e-06, 3.0
285, 203929285, cawatch53, 7, California, 1.13940271412e-05, 2.0
286, 131526348, cmcallihan, 5, None, 1.83937875201e-05, 5.0
287, 47265487, galthursday, 7, None, 1.060992841e-05, 1.0
288, 762072810, fosterright, 0, New York, 6.15904119004e-06, 1.0
289, 278654703, zachzeurcher, 0, Indiana, 7.21208910211e-06, 1.0
290, 714368797, anotw, 0, None, 3.37819701565e-06, 2.0
291, 15976226, cdngeorge, 0, None, 3.37819701565e-06, 1.0
292, 16494410, marnes, 7, None, 3.26162415826e-05, 12.0
293, 20940623, joemessina, 7, None, 8.55282354079e-06, 16.0
294, 246513512, thebankhar, 3, None, 3.37819701565e-06, 1.0
295, 269180799, saxstrowski, 2, Arizona, 9.7353277386e-06, 1.0
296, 572114919, mablumenfeld, 7, Virginia, 1.2483998296e-05, 15.0
297, 178909164, andreawolper, 7, None, 1.35451970674e-05, 1.0
298, 16164860, irvpaull, 3, North Carolina, 3.37819701565e-06, 2.0
299, 19490813, foxnme, 0, Texas, 3.37819701565e-06, 1.0
300, 743472587003461632, getshotat, 7, None, 1.41540841914e-05, 1.0
301, 3862739952, occultmemeking, 0, None, 1.67837113798e-05, 1.0
302, 708503044057530368, viktorfiel, 0, None, 2.51676105563e-05, 29.0
303, 4249705993, guerillamindset, 0, None, 2.29143194971e-05, 1.0
304, 3433749515, jobewatson14, 0, None, 3.17102613617e-05, 6.0
305, 3322180625, enveon, 0, None, 4.55318282976e-06, 1.0
306, 3535919123, uhaverbeck, 0, None, 3.48554876117e-05, 3.0
